inf_id,male,mom_id,male_id,prtdobknown,group,age_doc,sire,PHG
ye,2,bf,bt,EST,PHG,10.18480493,0,1
ye,3,bf,eb,KNOWN,PHG,10.03422313,0,1
ye,4,bf,ez,KNOWN,PHG,5.815195072,0,1
ye,5,bf,fh,KNOWN,PHG,6.116358658,0,1
ye,8,bf,jy,KNOWN,PHG,7.093771389,0,1
ye,9,bf,oe,KNOWN,PHG,8.602327173,1,1
ye,10,bf,oz,KNOWN,PHG,6.718685832,0,1
ye,11,bf,ph,KNOWN,PHG,5.752224504,0,1
ye,24,bf,yn,KNOWN,PHG,7.696098563,0,1
ye,25,bf,yr,KNOWN,PHG,6.058863792,0,1
ye,15,bf,pz,KNOWN,PHG,13.09240246,0,1
yg,2,bf,bt,EST,PHG,11.43326489,0,1
yg,4,bf,ez,KNOWN,PHG,7.063655031,0,1
yg,8,bf,jy,KNOWN,PHG,8.342231348,0,1
yg,10,bf,oz,KNOWN,PHG,7.967145791,1,1
yg,11,bf,ph,KNOWN,PHG,7.000684463,0,1
yg,15,bf,pz,KNOWN,PHG,14.34086242,0,1
yg,18,bf,sn,EST,PHG,14.68035592,0,1
yg,22,bf,xc,KNOWN,PHG,6.182067077,0,1
yg,9,bf,oe,KNOWN,PHG,9.850787132,0,1
qf,7,by,jj,KNOWN,ENK,7.353867214,1,0
qf,19,by,tp,KNOWN,ENK,10.23956194,0,0
qf,24,by,yn,KNOWN,ENK,8.503764545,0,0
qf,25,by,yr,KNOWN,ENK,6.866529774,0,0
qf,26,by,yy,KNOWN,ENK,5.180013689,0,0
qf,16,by,s1,EST,ENK,13.39356605,0,0
ql,7,by,jj,KNOWN,ENK,8.432580424,0,0
ql,19,by,tp,KNOWN,ENK,11.31827515,0,0
ql,24,by,yn,KNOWN,ENK,9.582477755,0,0
ql,25,by,yr,KNOWN,ENK,7.945242984,0,0
ql,26,by,yy,KNOWN,ENK,6.258726899,0,0
ql,16,by,s1,EST,ENK,14.47227926,1,0
xt,2,dz,bt,EST,PHG,10.41752225,0,1
xt,3,dz,eb,KNOWN,PHG,10.26694045,0,1
xt,4,dz,ez,KNOWN,PHG,6.047912389,0,1
xt,5,dz,fh,KNOWN,PHG,6.349075975,0,1
xt,8,dz,jy,KNOWN,PHG,7.326488706,0,1
xt,9,dz,oe,KNOWN,PHG,8.83504449,1,1
xt,10,dz,oz,KNOWN,PHG,6.951403149,0,1
xt,11,dz,ph,KNOWN,PHG,5.984941821,0,1
xt,18,dz,sn,EST,PHG,13.66461328,0,1
xt,24,dz,yn,KNOWN,PHG,7.92881588,0,1
xt,25,dz,yr,KNOWN,PHG,6.291581109,0,1
xt,15,dz,pz,KNOWN,PHG,13.32511978,0,1
gb,2,fd,bt,EST,PHG,9.839835729,0,1
gb,3,fd,eb,KNOWN,PHG,9.689253936,0,1
gb,4,fd,ez,KNOWN,PHG,5.470225873,0,1
gb,8,fd,jy,KNOWN,PHG,6.74880219,0,1
gb,9,fd,oe,KNOWN,PHG,8.257357974,1,1
gb,11,fd,ph,KNOWN,PHG,5.407255305,0,1
gb,15,fd,pz,KNOWN,PHG,12.74743326,0,1
gb,24,fd,yn,KNOWN,PHG,7.351129363,0,1
gb,25,fd,yr,KNOWN,PHG,5.713894593,0,1
