inf,prt1,prt2,mom,male,prtdobknown,prtage,primassoc,realdad,currsire,PHG,YNT
ah,ua,oz,ua,oz,KNOWN,7.077344285,0,0,tp,0,0
ah,ua,s3,ua,s3,EST,9.735797399,0,0,tp,0,0
ah,ua,sn,ua,sn,EST,13.79055441,0,0,tp,0,0
ah,ua,s1,ua,s1,EST,12.94455852,0,0,tp,0,0
ah,ua,jj,ua,jj,KNOWN,6.904859685,0,0,tp,0,0
ah,ua,tp,ua,tp,KNOWN,9.790554415,1,1,tp,0,0
ak,oo,bt,oo,bt,EST,11.95071869,0,0,yn,1,0
ak,oo,oe,oo,oe,KNOWN,10.36824093,0,0,yn,1,0
ak,jy,oo,oo,jy,KNOWN,8.859685147,0,0,yn,1,0
ak,oo,oz,oo,oz,KNOWN,8.484599589,0,0,yn,1,0
ak,oo,ph,oo,ph,KNOWN,7.518138261,0,0,yn,1,0
ak,oo,yy,oo,yy,KNOWN,6.138261465,0,0,yn,1,0
ak,oo,sn,oo,sn,EST,15.19780972,0,0,yn,1,0
ak,yr,oo,oo,yr,KNOWN,7.82477755,0,0,yn,1,0
ak,oo,pz,oo,pz,KNOWN,14.85831622,0,0,yn,1,0
ak,oo,jj,oo,jj,KNOWN,8.31211499,0,0,yn,1,0
ak,xc,oo,oo,xc,KNOWN,6.699520876,0,0,yn,1,0
ak,oo,s1,oo,s1,EST,14.35181383,0,0,yn,1,0
ak,oo,tp,oo,tp,KNOWN,11.19780972,0,0,yn,1,0
ak,oo,yn,oo,yn,KNOWN,9.46201232,1,1,yn,1,0
as,oo,bt,oo,bt,EST,10.46406571,0,0,jy,1,0
as,oo,jy,oo,jy,KNOWN,7.37303217,0,1,jy,1,0
as,oo,oe,oo,oe,KNOWN,8.881587953,0,0,jy,1,0
as,oo,oz,oo,oz,KNOWN,6.997946612,0,0,jy,1,0
as,oo,pz,oo,pz,KNOWN,13.37166324,0,0,jy,1,0
as,eb,oo,oo,eb,KNOWN,10.31348392,0,0,jy,1,0
as,oo,ph,oo,ph,KNOWN,6.031485284,0,0,jy,1,0
as,oo,ez,oo,ez,KNOWN,6.094455852,0,0,jy,1,0
as,oo,fh,oo,fh,KNOWN,6.395619439,0,0,jy,1,0
as,oo,yn,oo,yn,KNOWN,7.975359343,0,0,jy,1,0
as,oo,yr,oo,yr,KNOWN,6.338124572,1,0,jy,1,0
av,ua,yn,ua,yn,KNOWN,9.418206708,0,0,yr,0,0
av,ua,oe,ua,oe,KNOWN,10.32443532,0,0,yr,0,0
av,jj,ua,ua,jj,KNOWN,8.268309377,0,0,yr,0,0
av,yy,ua,ua,yy,KNOWN,6.094455852,0,0,yr,0,0
av,ua,tp,ua,tp,KNOWN,11.15400411,0,0,yr,0,0
av,ua,yr,ua,yr,KNOWN,7.780971937,0,1,yr,0,0
av,ua,s1,ua,s1,EST,14.30800821,1,0,yr,0,0
cf,s3,uv,uv,s3,EST,10.14099932,0,0,tp,0,0
cf,yn,uv,uv,yn,KNOWN,8.459958932,0,0,tp,0,0
cf,yr,uv,uv,yr,KNOWN,6.822724162,0,0,tp,0,0
cf,uv,jj,uv,jj,KNOWN,7.310061602,0,0,tp,0,0
cf,sn,uv,uv,sn,EST,14.19575633,0,0,tp,0,0
cf,s1,uv,uv,s1,EST,13.34976044,0,0,tp,0,0
cf,tp,uv,uv,tp,KNOWN,10.19575633,1,1,tp,0,0
cg,un,bt,un,bt,EST,11.19233402,0,0,oe,1,0
cg,un,jy,un,jy,KNOWN,8.101300479,0,0,oe,1,0
cg,un,sn,un,sn,EST,14.43942505,0,0,oe,1,0
cg,ez,un,un,ez,KNOWN,6.822724162,0,0,oe,1,0
cg,un,yn,un,yn,KNOWN,8.703627652,0,0,oe,1,0
cg,un,oz,un,oz,KNOWN,7.726214921,0,0,oe,1,0
cg,un,ph,un,ph,KNOWN,6.759753593,0,0,oe,1,0
cg,un,pz,un,pz,KNOWN,14.09993155,0,0,oe,1,0
cg,un,oe,un,oe,KNOWN,9.609856263,1,1,oe,1,0
cj,yn,uv,uv,yn,KNOWN,9.593429158,0,0,yr,0,0
cj,s1,uv,uv,s1,EST,14.48323066,0,0,yr,0,0
cj,oe,uv,uv,oe,KNOWN,10.49965777,0,0,yr,0,0
cj,yr,uv,uv,yr,KNOWN,7.956194387,0,1,yr,0,0
cj,jj,uv,uv,jj,KNOWN,8.443531828,0,0,yr,0,0
cj,yy,uv,uv,yy,KNOWN,6.269678303,0,0,yr,0,0
cj,tp,uv,uv,tp,KNOWN,11.32922656,1,0,yr,0,0
cp,ur,sn,ur,sn,EST,15.07186858,0,0,oz,1,0
cp,ur,bt,ur,bt,EST,11.82477755,0,0,oz,1,0
cp,ur,xc,ur,xc,KNOWN,6.57357974,0,0,oz,1,0
cp,ur,jy,ur,jy,KNOWN,8.733744011,0,0,oz,1,0
cp,ur,ph,ur,ph,KNOWN,7.392197125,0,0,oz,1,0
cp,ur,ez,ur,ez,KNOWN,7.455167693,0,0,oz,1,0
cp,ur,oe,ur,oe,KNOWN,10.24229979,0,0,oz,1,0
cp,ur,pz,ur,pz,KNOWN,14.73237509,1,0,oz,1,0
cp,ur,oz,ur,oz,KNOWN,8.358658453,1,1,oz,1,0
cu,ur,bt,ur,bt,EST,10.45037645,0,0,oe,1,0
cu,ur,eb,ur,eb,KNOWN,10.29979466,0,0,oe,1,0
cu,ur,ez,ur,ez,KNOWN,6.080766598,0,0,oe,1,0
cu,ur,oz,ur,oz,KNOWN,6.984257358,0,0,oe,1,0
cu,ur,yn,ur,yn,KNOWN,7.961670089,0,0,oe,1,0
cu,ur,yr,ur,yr,KNOWN,6.324435318,0,0,oe,1,0
cu,ur,ph,ur,ph,KNOWN,6.01779603,0,0,oe,1,0
cu,ur,jy,ur,jy,KNOWN,7.359342916,0,0,oe,1,0
cu,fh,ur,ur,fh,KNOWN,6.381930185,0,0,oe,1,0
cu,ur,oe,ur,oe,KNOWN,8.8678987,0,1,oe,1,0
cu,ur,pz,ur,pz,KNOWN,13.35797399,1,0,oe,1,0
gb,fd,bt,fd,bt,EST,10.32717317,0,0,oe,1,0
gb,eb,fd,fd,eb,KNOWN,10.17659138,0,0,oe,1,0
gb,ez,fd,fd,ez,KNOWN,5.957563313,0,0,oe,1,0
gb,jy,fd,fd,jy,KNOWN,7.23613963,0,0,oe,1,0
gb,ph,fd,fd,ph,KNOWN,5.894592745,0,0,oe,1,0
gb,yn,fd,fd,yn,KNOWN,7.838466804,0,0,oe,1,0
gb,yr,fd,fd,yr,KNOWN,6.201232033,0,0,oe,1,0
gb,fd,oe,fd,oe,KNOWN,8.744695414,0,1,oe,1,0
gb,pz,fd,fd,pz,KNOWN,13.2347707,0,0,oe,1,0
gf,gm,pu2,gm,pu2,EST,7.197809719,0,0,ph,1,0
gf,gm,sn,gm,sn,EST,16.88158795,0,0,ph,1,0
gf,gm,oz,gm,oz,KNOWN,10.16837782,0,0,ph,1,0
gf,gm,pq,gm,pq,EST,9.568788501,0,0,ph,1,0
gf,gm,jy,gm,jy,KNOWN,10.54346338,0,0,ph,1,0
gf,gm,pv,gm,pv,EST,7.197809719,0,0,ph,1,0
gf,gm,tp,gm,tp,KNOWN,12.88158795,0,0,ph,1,0
gf,ub,gm,gm,ub,KNOWN,6.362765229,0,0,ph,1,0
gf,af,gm,gm,af,KNOWN,5.941136208,0,0,ph,1,0
gf,gm,xh,gm,xh,KNOWN,6.439425051,0,0,ph,1,0
gf,gm,pz,gm,pz,KNOWN,16.54209446,0,0,ph,1,0
