inf,male,mom,prtdobknown,prtage,primassoc,babyrate,PHG,YNT
ah,jj,ua,KNOWN,6.904859685,0,0,0,0
ah,s3,ua,EST,9.735797399,0,0,0,0
ah,oz,ua,KNOWN,7.077344285,0,0,0,0
ah,s1,ua,EST,12.94455852,0,0,0,0
ah,tp,ua,KNOWN,9.790554415,1,0,0,0
ah,sn,ua,EST,13.79055441,0,0,0,0
ak,ph,oo,KNOWN,7.518138261,0,0,1,0
ak,s1,oo,EST,14.35181383,0,0,1,0
ak,xc,oo,KNOWN,6.699520876,0,0,1,0
ak,jj,oo,KNOWN,8.31211499,0,0,1,0
ak,jy,oo,KNOWN,8.859685147,0,0,1,0
ak,sn,oo,EST,15.19780972,0,0,1,0
ak,oz,oo,KNOWN,8.484599589,0,0,1,0
ak,pz,oo,KNOWN,14.85831622,0,0,1,0
ak,bt,oo,EST,11.95071869,0,0,1,0
ak,oe,oo,KNOWN,10.36824093,0,0,1,0
ak,tp,oo,KNOWN,11.19780972,0,0.285714286,1,0
ak,yr,oo,KNOWN,7.82477755,0,0,1,0
ak,yn,oo,KNOWN,9.46201232,1,0.142857143,1,0
ak,yy,oo,KNOWN,6.138261465,0,0,1,0
as,ez,oo,KNOWN,6.094455852,0,0,1,0
as,fh,oo,KNOWN,6.395619439,0,0.8,1,0
as,yr,oo,KNOWN,6.338124572,1,0.342857143,1,0
as,jy,oo,KNOWN,7.37303217,0,0,1,0
as,oz,oo,KNOWN,6.997946612,0,0,1,0
as,pz,oo,KNOWN,13.37166324,0,0,1,0
as,bt,oo,EST,10.46406571,0,0,1,0
as,yn,oo,KNOWN,7.975359343,0,0.457142857,1,0
as,oe,oo,KNOWN,8.881587953,0,0,1,0
as,eb,oo,KNOWN,10.31348392,0,0,1,0
as,ph,oo,KNOWN,6.031485284,0,0.114285714,1,0
av,s1,ua,EST,14.30800821,1,0.145454545,0,0
av,jj,ua,KNOWN,8.268309377,0,0,0,0
av,yn,ua,KNOWN,9.418206708,0,0,0,0
av,tp,ua,KNOWN,11.15400411,0,0.072727273,0,0
av,yr,ua,KNOWN,7.780971937,0,0,0,0
av,oe,ua,KNOWN,10.32443532,0,0,0,0
av,yy,ua,KNOWN,6.094455852,0,0.509090909,0,0
cf,jj,uv,KNOWN,7.310061602,0,0.075471698,0,0
cf,s3,uv,EST,10.14099932,0,0,0,0
cf,yr,uv,KNOWN,6.822724162,0,0,0,0
cf,s1,uv,EST,13.34976044,0,0.452830189,0,0
cf,tp,uv,KNOWN,10.19575633,1,1.132075472,0,0
cf,yn,uv,KNOWN,8.459958932,0,0,0,0
cf,sn,uv,EST,14.19575633,0,0,0,0
