inf,mom,male,prtdobknown,prtage,primassoc,currsire,nextinf,nextsire,nextdad,PHG
ye,bf,bt,EST,10.6721,0,oe,yg,oz,0,1
ye,bf,oz,KNOWN,7.20602,0,oe,yg,oz,1,1
ye,bf,oe,KNOWN,9.08966,0,oe,yg,oz,0,1
ye,bf,ph,KNOWN,6.23956,0,oe,yg,oz,0,1
ye,bf,ez,KNOWN,6.30253,0,oe,yg,oz,0,1
ye,bf,pz,KNOWN,13.5797,1,oe,yg,oz,0,1
ye,bf,jy,KNOWN,7.58111,0,oe,yg,oz,0,1
qf,by,yr,KNOWN,7.35387,0,jj,ql,s1,0,0
qf,by,jj,KNOWN,7.8412,0,jj,ql,s1,0,0
qf,by,yy,KNOWN,5.66735,0,jj,ql,s1,0,0
qf,by,s1,EST,13.8809,1,jj,ql,s1,1,0
qf,by,tp,KNOWN,10.7269,0,jj,ql,s1,0,0
qf,by,yn,KNOWN,8.9911,0,jj,ql,s1,0,0
gj,fd,oe,KNOWN,10.0479,0,oe,gx,oz,0,1
gj,fd,xc,KNOWN,6.37919,0,oe,gx,oz,0,1
gj,fd,jy,KNOWN,8.53936,0,oe,gx,oz,0,1
gj,fd,pz,KNOWN,14.538,1,oe,gx,oz,0,1
gj,fd,bt,EST,11.6304,0,oe,gx,oz,0,1
gj,fd,oz,KNOWN,8.16427,0,oe,gx,oz,1,1
gj,fd,yn,KNOWN,9.14168,0,oe,gx,oz,0,1
gj,fd,ph,KNOWN,7.19781,0,oe,gx,oz,0,1
gj,fd,ez,KNOWN,7.26078,0,oe,gx,oz,0,1
gj,fd,sn,EST,14.8775,0,oe,gx,oz,0,1
gb,fd,pz,KNOWN,13.2348,0,oe,gj,oe,0,1
gb,fd,yr,KNOWN,6.20123,0,oe,gj,oe,0,1
gb,fd,bt,EST,10.3272,0,oe,gj,oe,0,1
gb,fd,ph,KNOWN,5.89459,0,oe,gj,oe,0,1
gb,fd,jy,KNOWN,7.23614,0,oe,gj,oe,0,1
gb,fd,oe,KNOWN,8.7447,0,oe,gj,oe,1,1
gb,fd,ez,KNOWN,5.95756,0,oe,gj,oe,0,1
gx,fd,xh,KNOWN,5.59617,0,oz,gp,oz,0,1
gx,fd,bt,EST,12.7912,0,oz,gp,oz,0,1
gx,fd,ph,KNOWN,8.35866,0,oz,gp,oz,0,1
gx,fd,sn,EST,16.0383,0,oz,gp,oz,0,1
gx,fd,um,KNOWN,5.65914,0,oz,gp,oz,0,1
gx,fd,pz,KNOWN,15.6988,0,oz,gp,oz,0,1
gx,fd,oz,KNOWN,9.32512,0,oz,gp,oz,1,1
gx,fd,jy,KNOWN,9.70021,0,oz,gp,oz,0,1
go,fx,oe,KNOWN,8.84326,0,bt,gn,jy,0,1
go,fx,bt,EST,10.4257,1,bt,gn,jy,0,1
go,fx,pz,KNOWN,13.3333,0,bt,gn,jy,0,1
go,fx,jy,KNOWN,7.3347,0,bt,gn,jy,1,1
go,fx,ez,KNOWN,6.05613,0,bt,gn,jy,0,1
go,fx,oz,KNOWN,6.95962,0,bt,gn,jy,0,1
go,fx,ph,KNOWN,5.99316,0,bt,gn,jy,0,1
gn,fx,sn,EST,15.0472,0,jy,gz,bt,0,1
gn,fx,pz,KNOWN,14.7077,0,jy,gz,bt,0,1
gn,fx,jy,KNOWN,8.7091,1,jy,gz,bt,0,1
gn,fx,oz,KNOWN,8.33402,0,jy,gz,bt,0,1
gn,fx,ph,KNOWN,7.36756,0,jy,gz,bt,0,1
gn,fx,oe,KNOWN,10.2177,0,jy,gz,bt,0,1
gn,fx,xc,KNOWN,6.54894,0,jy,gz,bt,0,1
gn,fx,bt,EST,11.8001,0,jy,gz,bt,1,1
kh,ob,pz,KNOWN,14.4422,0,yn,kx,yn,0,1
kh,ob,oe,KNOWN,9.95209,0,yn,kx,yn,0,1
kh,ob,ph,KNOWN,7.10198,0,yn,kx,yn,0,1
kh,ob,xc,KNOWN,6.28337,0,yn,kx,yn,0,1
kh,ob,bt,EST,11.5346,0,yn,kx,yn,0,1
kh,ob,sn,EST,14.7817,0,yn,kx,yn,0,1
kh,ob,yn,KNOWN,9.04586,1,yn,kx,yn,1,1
kh,ob,jy,KNOWN,8.44353,0,yn,kx,yn,0,1
kh,ob,oz,KNOWN,8.06845,0,yn,kx,yn,0,1
as,oo,ez,KNOWN,6.09446,0,jy,ak,yn,0,1
as,oo,yn,KNOWN,7.97536,0,jy,ak,yn,1,1
as,oo,pz,KNOWN,13.3717,0,jy,ak,yn,0,1
as,oo,oz,KNOWN,6.99795,0,jy,ak,yn,0,1
as,oo,ph,KNOWN,6.03149,0,jy,ak,yn,0,1
as,oo,jy,KNOWN,7.37303,0,jy,ak,yn,0,1
as,oo,oe,KNOWN,8.88159,0,jy,ak,yn,0,1
as,oo,bt,EST,10.4641,0,jy,ak,yn,0,1
ak,oo,tp,KNOWN,11.1978,0,yn,ij,yn,0,1
ak,oo,yn,KNOWN,9.46201,1,yn,ij,yn,1,1
ak,oo,yr,KNOWN,7.82478,0,yn,ij,yn,0,1
ak,oo,jj,KNOWN,8.31211,0,yn,ij,yn,0,1
ak,oo,s1,EST,14.3518,0,yn,ij,yn,0,1
ak,oo,yy,KNOWN,6.13826,0,yn,ij,yn,0,1
kn,oy,oz,KNOWN,7.30185,0,bt,kq,jy,0,1
kn,oy,ph,KNOWN,6.33539,0,bt,kq,jy,0,1
kn,oy,bt,EST,10.768,0,bt,kq,jy,0,1
kn,oy,pz,KNOWN,13.6756,0,bt,kq,jy,0,1
kn,oy,oe,KNOWN,9.18549,0,bt,kq,jy,0,1
kn,oy,sn,EST,14.0151,0,bt,kq,jy,0,1
kn,oy,jy,KNOWN,7.67693,0,bt,kq,jy,1,1
qo,qc,s1,EST,14.8884,0,yr,qg,yr,0,0
qo,qc,tp,KNOWN,11.7344,0,yr,qg,yr,0,0
qo,qc,yr,KNOWN,8.3614,1,yr,qg,yr,1,0
qo,qc,yy,KNOWN,6.67488,0,yr,qg,yr,0,0
qw,qn,jj,KNOWN,7.80014,0,tp,qm,yr,0,0
qw,qn,yr,KNOWN,7.3128,0,tp,qm,yr,1,0
qw,qn,s1,EST,13.8398,0,tp,qm,yr,0,0
qw,qn,yy,KNOWN,5.62628,0,tp,qm,yr,0,0
qw,qn,yn,KNOWN,8.95003,0,tp,qm,yr,0,0
qw,qn,tp,KNOWN,10.6858,1,tp,qm,yr,0,0
qm,qn,yy,KNOWN,6.9514,0,yr,qj,yy,1,0
qm,qn,yr,KNOWN,8.63792,0,yr,qj,yy,0,0
qm,qn,tp,KNOWN,12.011,1,yr,qj,yy,0,0
qm,qn,s1,EST,15.165,0,yr,qj,yy,0,0
qr,qp,yr,KNOWN,6.74059,0,tp,qy,tp,0,0
qr,qp,tp,KNOWN,10.1136,0,tp,qy,tp,1,0
qr,qp,s1,EST,13.2676,1,tp,qy,tp,0,0
qr,qp,jj,KNOWN,7.22793,0,tp,qy,tp,0,0
qy,qp,yr,KNOWN,7.87132,0,tp,qq,yr,1,0
qy,qp,yy,KNOWN,6.1848,0,tp,qq,yr,0,0
qy,qp,s1,EST,14.3984,0,tp,qq,yr,0,0
qy,qp,yn,KNOWN,9.50856,0,tp,qq,yr,0,0
qy,qp,tp,KNOWN,11.2444,0,tp,qq,yr,0,0
qy,qp,jj,KNOWN,8.35866,1,tp,qq,yr,0,0
tj,tr,oe,KNOWN,8.70089,0,bt,rq,bt,0,1
tj,tr,ph,KNOWN,5.85079,0,bt,rq,bt,0,1
tj,tr,yn,KNOWN,7.79466,0,bt,rq,bt,0,1
tj,tr,eb,KNOWN,10.1328,1,bt,rq,bt,0,1
tj,tr,bt,EST,10.2834,0,bt,rq,bt,1,1
tj,tr,ez,KNOWN,5.91376,0,bt,rq,bt,0,1
tj,tr,jy,KNOWN,7.19233,0,bt,rq,bt,0,1
tj,tr,yr,KNOWN,6.15743,0,bt,rq,bt,0,1
tj,tr,pz,KNOWN,13.191,0,bt,rq,bt,0,1
rq,tr,yn,KNOWN,8.99384,0,bt,rh,yn,1,1
ah,ua,s1,EST,12.9446,0,tp,av,yr,0,0
ah,ua,tp,KNOWN,9.79055,1,tp,av,yr,0,0
ah,ua,jj,KNOWN,6.90486,0,tp,av,yr,0,0
av,ua,jj,KNOWN,8.26831,0,yr,xo,yr,0,0
av,ua,tp,KNOWN,11.154,0,yr,xo,yr,0,0
av,ua,yn,KNOWN,9.41821,0,yr,xo,yr,0,0
av,ua,yy,KNOWN,6.09446,0,yr,xo,yr,0,0
av,ua,s1,EST,14.308,1,yr,xo,yr,0,0
av,ua,yr,KNOWN,7.78097,0,yr,xo,yr,1,0
cg,un,oe,KNOWN,9.60986,1,oe,zi,oz,0,1
cg,un,sn,EST,14.4394,0,oe,zi,oz,0,1
cg,un,oz,KNOWN,7.72621,0,oe,zi,oz,1,1
cg,un,ez,KNOWN,6.82272,0,oe,zi,oz,0,1
cg,un,ph,KNOWN,6.75975,0,oe,zi,oz,0,1
